Tissue	braincerebellum
N_samples	102
Chr	18
Gene	ENSG00000173482.12
SNP	rs9945834
Gene_list	ENSG00000127588.4	ENSG00000074370.13	ENSG00000168824.10	ENSG00000183018.4	ENSG00000150995.13	ENSG00000116237.11	ENSG00000187017.10	ENSG00000173482.12	ENSG00000174788.5	ENSG00000188803.10	ENSG00000105143.8	ENSG00000072954.2	ENSG00000105642.11	ENSG00000051128.14	ENSG00000187664.8	ENSG00000175445.10	ENSG00000101463.5	ENSG00000109107.9	ENSG00000188322.4	ENSG00000253304.1	ENSG00000171189.12	ENSG00000106341.6	ENSG00000128245.10	ENSG00000133424.16	ENSG00000132821.7	ENSG00000100362.8	ENSG00000161381.9	ENSG00000214694.6	ENSG00000187595.10	ENSG00000183036.6	ENSG00000137166.10	ENSG00000137825.6	ENSG00000124155.12	ENSG00000149091.11	ENSG00000100422.9	ENSG00000006283.13	ENSG00000007402.7	ENSG00000126583.6	ENSG00000154978.8	ENSG00000178538.5	ENSG00000174871.6	ENSG00000173898.7	ENSG00000156113.16	ENSG00000173267.9	ENSG00000003249.9	ENSG00000104327.3	ENSG00000152208.7	ENSG00000110675.8	ENSG00000139438.5	ENSG00000144136.6	ENSG00000119411.10	ENSG00000138741.6	ENSG00000109956.8	ENSG00000068383.14	ENSG00000146005.3	ENSG00000236279.2	ENSG00000175040.4	ENSG00000178172.2	ENSG00000070808.11	ENSG00000174567.7	ENSG00000187957.7
Gene expression stats (Y^T * Y): 
94.2403082206	78.011340496	73.5639790659	53.4745424291	75.846511877	60.6360771372	61.6310641072	66.0051746718	67.6753411729	67.6317233755	78.537727855	53.9965051987	54.5180133256	52.5074372606	65.2561481224	63.3670813653	51.2092858056	74.2764483495	55.9506632634	62.6450851638	57.1703391932	71.9680617588	61.034397229	66.4644233794	49.5931360262	70.1103409903	63.7201784597	64.4118445384	72.8791023171	66.761616727	57.4763745471	61.2818522935	53.5401060383	60.807735496	68.3522241414	78.1105122274	43.4017973919	73.9222955668	40.4233047589	73.3382608187	57.9213527569	53.1405934672	64.2886053764	69.5599224562	60.5953700494	74.9951868922	46.2737637107	68.3148398331	59.6473963138	57.2212617161	57.2949467116	56.2357220176	62.17490337	79.1942677335	63.4109343809	71.7412610384	72.9940523088	52.7548608057	57.3033070358	55.1021908411	61.0802868129
78.011340496	94.2403082206	73.2768935337	68.59019185	85.6749719688	72.3636135438	65.5046896711	80.7577479277	74.3911581098	69.6228095049	86.086761835	64.3911666919	64.3242113006	65.6129436546	82.0369796181	71.9172587306	64.8808612714	81.5983481112	61.8321378887	76.2897921471	70.4973205143	80.7958900862	71.4389872307	82.6849857575	59.1428112135	75.7368897724	74.682402665	73.4392367287	82.5910938251	79.1274207927	67.1948474829	75.2983510321	67.0782803434	69.0928406292	71.9420301607	90.4409757163	56.8426841359	83.6083993639	58.5528052532	83.7390313433	62.3683712456	68.0263477923	67.1872576666	70.1955025323	67.3176410047	82.2069699233	65.1491785093	71.2267968759	70.8390045172	73.1868637061	69.4542679256	66.6315174282	71.0959067861	76.7165529694	66.6978636476	79.7893431481	83.8286658766	66.8451404998	68.9395970136	67.5144668138	69.009772851
73.5639790659	73.2768935337	94.2403082206	46.6450606706	76.7356880003	55.9378580414	50.208536881	59.7118500726	58.4462589049	57.568441767	75.0404016821	51.7290824555	38.5720141514	58.2659316453	62.3643300186	68.9906901493	42.2503455107	73.3658203759	47.6855223972	58.1774951655	55.6449111077	76.6995729888	68.1297236373	68.9552226631	46.7026940278	70.3031297477	59.0416034209	57.0945254061	63.8142589006	69.3504927453	53.8005770996	54.03224836	53.2942389723	52.4410076354	73.6120761313	72.4244600297	38.6249731017	76.3017924869	40.2751277499	76.8332563179	50.9373087201	44.455746493	56.6498355355	63.9545276273	44.6297722967	77.0679448827	44.7330046698	77.4769422508	50.0449787387	61.8227479923	55.0814940104	47.651002119	52.4248220979	72.2564176355	60.6059197996	72.5852949442	66.7179261846	47.441300768	54.5161729578	45.9223154719	65.2502219523
53.4745424291	68.59019185	46.6450606706	94.2403082206	59.8061306801	57.3799572926	54.8303046254	57.9299098643	55.6367315463	48.8350677785	57.0100089184	48.7755108621	57.5853830652	51.7931650024	64.2725854011	52.1258565887	55.8679569224	53.1475751567	49.6645877123	52.9711134169	46.9714571721	53.7880488113	45.3876535684	58.8845469845	45.8602581454	53.995307167	62.2683568484	61.8906802084	67.4998484414	52.5986299273	56.6804701053	58.8824324267	46.8801353276	57.6616444925	60.4015763165	67.0713280164	37.3035265421	60.3423116665	42.0574958041	55.9259579884	57.5851748229	56.7782560412	60.5808062681	45.1835420448	46.6206160884	54.9996868673	46.5630216223	54.8477855838	69.5133119851	54.9056332795	60.373231242	51.4463388729	66.8483958624	59.2914671606	40.0872980118	65.819233529	71.7617243097	40.4434257381	61.4887629549	53.7276465259	46.9331164495
75.846511877	85.6749719688	76.7356880003	59.8061306801	94.2403082206	67.9849026966	56.4047178794	76.5626963438	63.285823639	65.7403291242	83.1036716139	59.3939527959	48.3949380981	62.1814463065	74.5066780965	71.6759384178	55.4138991482	81.5457522547	53.6855594513	69.3745584364	62.9971137384	81.2523645054	78.7233260239	76.5301812481	50.1474444231	70.6790367577	69.0155179653	66.9075765713	72.048029985	79.5562058133	59.5441764945	62.0128295546	58.1632996691	63.2047049031	71.0209170281	84.3275480585	49.5857958408	80.4088955502	55.6722793888	84.8613842085	57.4356436598	57.0587009377	60.5591878794	66.4556601446	56.0891606451	88.7490802331	59.2140408363	73.7254611346	59.7639110239	68.4774589152	57.6410569609	59.4374602455	68.8197648989	74.2827076677	70.9907932813	74.8576297338	73.8708946721	57.3026686385	58.8684806756	54.966700273	76.0706502332
60.6360771372	72.3636135438	55.9378580414	57.3799572926	67.9849026966	94.2403082206	57.606125184	68.4398759093	53.0433888829	61.3708465017	62.3814459085	57.3103156384	47.5412604298	51.4786268269	74.2974339877	58.3167703827	59.0104517482	59.1604030146	50.2918379853	60.8162957543	64.1473217557	67.631199279	54.7465520964	71.6062836418	48.2894452297	56.8039003062	64.7599701068	67.3467497226	69.5000676925	56.1561107902	57.9265921884	65.7929623258	50.2303196983	55.7525324305	62.8083774227	77.011677603	43.337878997	66.1079207089	56.8121741987	73.450016575	52.5056067626	58.1297646181	68.5438378291	57.0709853648	53.5470191217	66.4479220028	58.1678862237	53.2248526857	61.0419090936	64.2334875774	74.3270901001	57.6925723401	53.1240986724	65.5607504844	48.7212903042	61.8304460295	75.4621856072	54.5645689928	61.9094158653	59.4083029725	49.6243192559
61.6310641072	65.5046896711	50.208536881	54.8303046254	56.4047178794	57.606125184	94.2403082206	59.237943371	59.856654067	53.7518537914	56.8573719497	44.9295590448	65.352814906	49.1530121739	56.0287091471	48.1267590418	56.7129431142	50.7040083023	59.3635295954	52.1010444418	47.617121185	50.0308514963	41.8382308936	59.0167799721	55.5499985946	58.6606357932	64.813864746	71.26534919	66.3645621723	56.9648427282	51.0314827549	59.2673851168	37.1855288768	63.5080439524	62.7055094015	69.7573633991	46.0104751078	54.0096903653	43.5758430829	47.7568785386	60.5269788492	46.7729940532	60.8598956571	56.0252465132	62.5991228108	50.5202439066	41.6343671864	46.5952626222	63.2088747261	42.1735433688	63.6060621152	49.6343331258	60.4345641496	60.2528006648	44.3952883639	56.6244421929	73.0883977592	48.7546397588	63.0113416195	58.9228749901	37.4742517064
66.0051746718	80.7577479277	59.7118500726	57.9299098643	76.5626963438	68.4398759093	59.237943371	94.2403082206	64.2799901492	62.5811637076	73.3845401231	57.3183465678	57.6571216308	62.5659045842	73.3715374404	68.7708152794	63.4217152815	69.1635499101	59.1703134637	67.5252054891	63.0552873764	65.9312257208	63.0514514421	71.7689618832	57.5953771459	67.1582305546	68.0212898008	71.4582800012	71.5309892762	72.0483373087	56.6770101729	66.6560761702	58.1160989612	71.234255062	61.082395069	79.8440141431	58.1680303838	70.4505867051	62.9974590137	74.0210355575	60.1651451788	61.3627714269	61.2835694659	65.7522997696	60.7384513557	72.8438920828	67.021238875	59.1460606273	64.4506261382	62.829908891	63.6815592432	58.1043171627	65.2468267026	65.9442089356	58.5402625685	63.7826952588	75.9518191633	57.9616376823	60.7061265773	65.5712310973	65.3420143242
67.6753411729	74.3911581098	58.4462589049	55.6367315463	63.285823639	53.0433888829	59.856654067	64.2799901492	94.2403082206	47.2272878563	76.9097051543	40.9056662527	56.9361185904	68.1840221982	58.9916555952	51.8106910974	59.8303389455	72.9591246614	61.2612414205	53.44864703	48.8490604318	53.4380650612	63.1445701083	55.7364279379	51.6787037806	79.9077599665	54.7157225653	67.1858359457	66.1136085914	75.1661339709	44.3605781202	63.5361057417	46.4195783988	73.5376123003	56.3916434134	69.7630922136	45.5579254325	67.1392122658	47.0922557178	62.5724307082	57.5817947022	66.4920303071	61.4743398231	73.0017903029	60.2355444413	61.3643151413	46.7502736987	48.355595011	63.5711810505	50.0065671008	54.5788135358	42.2070620549	63.067602278	67.7902379078	52.13772927	62.6109808794	67.8049385309	53.7753155308	52.0558505729	56.4828189949	57.8341912565
67.6317233755	69.6228095049	57.568441767	48.8350677785	65.7403291242	61.3708465017	53.7518537914	62.5811637076	47.2272878563	94.2403082206	64.3558658417	54.5008124104	50.6012222473	40.4377892586	66.166160043	54.543046733	59.0746297096	60.8294308807	55.7751146447	56.124757742	60.3767815892	63.6989161717	49.3617904158	70.4150956456	54.9582250301	55.4466720466	62.2208808045	57.2518855656	72.6842837731	51.4723842163	57.4957440359	52.1000229229	47.9420060171	55.989026236	61.0495677586	72.5055102985	54.1354244905	66.6435473613	46.1803150918	64.1053547135	53.3769851065	48.7936852053	59.2350377115	54.9346168189	53.7357078148	61.8242698536	57.6879351076	64.6446832119	56.9085801307	54.4923165315	52.4247708183	55.0708861053	54.8055055935	62.595749513	60.14369483	60.0793821565	67.1958091971	44.3405103279	64.5420305956	56.0921152007	51.3713086616
