Tissue	braincerebellum
N_samples	102
Chr	6
Gene	ENSG00000112306.7
SNP	rs1749225
Gene_list	ENSG00000161970.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000221983.3	ENSG00000134419.11	ENSG00000137154.8	ENSG00000174748.14	ENSG00000142676.8	ENSG00000231500.2	ENSG00000124614.9	ENSG00000241837.2	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000100129.13	ENSG00000168028.9	ENSG00000100316.11	ENSG00000131469.8	ENSG00000142937.7	ENSG00000265681.2	ENSG00000213741.4	ENSG00000123349.9	ENSG00000143947.8	ENSG00000008988.5	ENSG00000196531.6	ENSG00000083845.4	ENSG00000174444.10	ENSG00000145741.11	ENSG00000147604.9	ENSG00000149273.10	ENSG00000138326.14	ENSG00000122406.8	ENSG00000156482.6	ENSG00000114391.8	ENSG00000071082.6	ENSG00000104408.5	ENSG00000109475.12	ENSG00000089009.11	ENSG00000118181.6	ENSG00000089157.11	ENSG00000136942.10	ENSG00000112306.7	ENSG00000148303.12	ENSG00000145425.5	ENSG00000177954.7	ENSG00000204628.7	ENSG00000182899.10	ENSG00000197756.5
Gene expression stats (Y^T * Y): 
94.2403082206	63.1423677876	65.2961791419	70.737472759	55.1860894242	70.0718241881	75.6052756659	69.960195169	74.3379502181	61.4217392066	60.2048985054	62.9718975323	61.3119724384	69.1211112586	56.6262251583	64.5489724901	61.6357813825	52.1035783759	62.3310180189	66.0990464146	68.0525187825	68.6205284039	57.6913791935	73.3783055036	67.04029954	78.9995844906	53.5431487807	74.8452981403	58.160038551	83.9701972262	55.5268113591	79.1370532457	78.5395084034	76.3875539485	70.9161542305	67.8898886824	75.2077311373	76.6215832808	83.0210404748	66.011712383	54.6907086886	38.3667520384	75.9616187106	64.1301005824	81.1170554316	66.2708620235	57.788466935	69.7717047953	48.9055934769
63.1423677876	94.2403082206	51.5450382303	63.1087157062	42.7329439813	64.1531852363	57.2079811609	41.3799470304	61.997336654	53.1529920315	57.7303251238	54.6250093883	56.6017741313	48.0104140605	59.0075251696	38.1232259968	61.1089122974	48.2023148835	63.9554993684	71.8578438871	57.5258073712	66.7755352841	71.6045080169	58.8102994547	54.1057010738	63.6974607988	59.0420551706	54.0216655532	55.8914921201	47.9543175128	40.9670817718	61.3321956559	48.363099973	55.3820011023	62.7370463997	54.1113212362	44.4200957534	59.6124454746	57.6652244201	63.1946853105	61.5497240738	58.6925373615	68.2935719903	48.3741464718	58.6677607584	69.6246838613	40.9212180461	61.7906796048	37.0438655579
65.2961791419	51.5450382303	94.2403082206	65.6468986458	67.0072202205	70.2278300548	74.1726515565	50.8826989958	78.9270026063	65.6127928526	63.9804038643	49.3599201647	53.8860301157	78.4960528268	78.7923069281	40.8860287632	58.9933115636	35.4411757737	63.8568080107	69.6528482174	71.1256835184	69.0807584651	62.4848593998	60.8828968395	63.6935875205	45.7324969612	73.4855275609	55.0740576882	59.9669566725	61.2077999292	74.3007646809	72.2319424416	54.1355475462	78.7625365793	72.11074972	76.7112418911	56.7846036839	70.7920221123	63.7614571413	61.6162793463	62.5142855658	64.6424910651	65.4997336701	73.0675364533	54.9646482186	62.807901759	66.1195150852	72.2757704229	74.468149228
70.737472759	63.1087157062	65.6468986458	94.2403082206	49.1324545567	75.8870323334	71.8756827902	68.9628064573	73.5121892125	63.6635359551	59.461279719	55.3629918233	52.6775527027	66.8010947193	55.1515646657	50.3761822506	58.7767338863	30.1683622519	66.1696748536	71.3834058829	69.5188230336	77.8440782814	64.7036059713	64.4734481027	67.9045617774	61.8818987285	62.3365772027	58.1526657595	63.9060564121	71.9801679118	55.9201151055	72.5925913663	70.2390949672	75.8525003496	76.5614409711	55.9028918133	66.4217964199	77.1016870323	72.6838439046	70.9209852859	59.4268857923	55.4299953097	70.3638030529	53.0026483435	77.2185100173	72.2883916384	55.9607641033	75.2261964496	48.0686680855
55.1860894242	42.7329439813	67.0072202205	49.1324545567	94.2403082206	61.2166094346	60.836219775	43.2233851822	58.9356723831	52.6509577541	65.4355964083	44.256573694	58.4750517175	57.327636375	70.2033684996	37.6364565539	63.8181534715	47.098381917	54.9858602975	56.4730820679	51.8444992124	61.9753446194	46.9304835531	49.6128852348	54.6017952289	33.1895401369	64.9546275069	53.8797894353	47.5843817465	45.4475710426	60.1135373007	48.5478456163	42.9947210205	57.6470757112	55.6854317229	63.0619999779	43.3466276177	50.3843579625	51.9029122771	43.3262198837	64.3734170766	53.4255486279	62.9340790879	67.1755802854	40.795190738	55.134933733	61.5400411245	51.0167305984	60.2399325298
70.0718241881	64.1531852363	70.2278300548	75.8870323334	61.2166094346	94.2403082206	71.9336847886	61.5281021246	73.9083350966	64.6808406463	71.8947639947	58.3271576407	57.8027201449	65.5828205551	66.4828579669	54.4453826866	63.4060276424	39.483628406	72.7580847079	74.8710725843	68.0087351162	82.0105632926	65.1868228456	64.7390704989	73.642384158	59.3724875403	63.6274160736	62.7167943073	64.0657394547	66.136657105	61.4981909762	71.0975223273	61.1774701717	73.7279862868	76.4351544566	66.030679572	61.1887755287	75.9454532563	72.0445738806	66.1159142923	68.4256971059	64.931973138	77.297380331	56.5790694485	71.8117626801	78.1765182171	57.1237520113	80.1626543333	54.7633017155
75.6052756659	57.2079811609	74.1726515565	71.8756827902	60.836219775	71.9336847886	94.2403082206	64.0086018283	78.6635347061	69.4453333252	62.5912212298	52.9252973779	62.4175726283	73.9204911113	68.0691636001	53.4277945264	67.5609269079	43.9561273665	68.9785624987	75.7122949142	77.188610949	68.4547161912	63.2783954855	64.7618950612	68.7515122066	62.2204595372	64.8228291826	68.0596189104	68.744354011	70.1758437319	63.4470160569	77.5129982807	74.4104394227	80.5580153912	80.4837582224	66.8704741929	66.7253623988	76.272949169	71.8562563055	66.7564572048	66.6120163997	54.3576428395	71.434865752	67.3511635182	71.4193107036	66.654487177	57.1657860461	75.655540319	51.2807003431
69.960195169	41.3799470304	50.8826989958	68.9628064573	43.2233851822	61.5281021246	64.0086018283	94.2403082206	57.2316805311	54.8669715148	50.8764293462	48.2291454424	56.7866155894	54.483983318	42.8371928071	62.9298677389	48.0044103887	47.6136745238	47.5754603659	52.5788401641	56.7548566127	63.0909688211	36.4600356621	53.1341688645	59.7255510758	63.5802940948	51.4522809861	70.2548645671	60.2365440319	79.3520652179	49.478722303	64.5198804839	72.3300456756	70.2766313418	64.3892636316	52.83927609	68.4535427329	65.5466977365	76.6357775006	49.4714129263	55.4098071968	32.5131645932	61.7416300936	55.4215242335	71.692098131	53.5992771683	53.9748346517	60.6144048418	32.623339366
74.3379502181	61.997336654	78.9270026063	73.5121892125	58.9356723831	73.9083350966	78.6635347061	57.2316805311	94.2403082206	69.8731758784	65.6846437768	51.5905913421	59.3464209484	79.8093134433	74.1046086807	55.5785633889	68.0665164755	44.8070933078	60.6368797787	77.6631731016	81.4831880224	73.4721612712	64.1870420066	69.2208047419	70.6154986686	60.2791984873	71.5467617274	65.9351280218	64.0703260439	72.561696895	75.0639158822	71.4684570376	72.2178205854	83.0103968414	78.8999683836	70.4864048062	69.0919426971	72.6723922406	70.908239515	66.0509829227	61.9075614637	57.932505612	74.4555530589	72.0897295367	70.1982074214	67.3530021749	66.1457392846	72.1651790452	71.0624824129
61.4217392066	53.1529920315	65.6127928526	63.6635359551	52.6509577541	64.6808406463	69.4453333252	54.8669715148	69.8731758784	94.2403082206	52.5659409093	48.2166048199	53.2894434197	62.3130648241	64.679396719	39.0827862537	59.6443142882	39.7199964778	55.9639355443	67.7896159443	64.6518951297	62.1329927524	50.5184529669	56.3262266173	54.0982612346	49.7466055079	63.0584341316	58.6160569731	56.4046206679	55.8836082261	59.4240990833	60.721758194	63.6731269838	70.3632395626	66.9613999445	53.812013867	51.2538092174	60.1470625191	57.0105938531	55.2141487569	57.291053473	52.3547480163	60.0818147299	64.7020177939	57.0272025837	55.4125896708	55.0337322522	59.6960404831	51.1098545347
