Tissue	braincaudatebasalganglia
N_samples	98
Chr	9
Gene	ENSG00000197958.8
SNP	rs4400487
Gene_list	ENSG00000115268.5	ENSG00000140988.11	ENSG00000171863.8	ENSG00000130255.8	ENSG00000161970.8	ENSG00000166441.8	ENSG00000144713.8	ENSG00000110700.2	ENSG00000105640.8	ENSG00000221983.3	ENSG00000134419.11	ENSG00000137154.8	ENSG00000142676.8	ENSG00000198242.9	ENSG00000231500.2	ENSG00000124614.9	ENSG00000198755.6	ENSG00000125691.8	ENSG00000108298.5	ENSG00000100316.11	ENSG00000105193.4	ENSG00000188846.9	ENSG00000145592.9	ENSG00000131469.8	ENSG00000105372.2	ENSG00000142937.7	ENSG00000265681.2	ENSG00000232112.3	ENSG00000063177.8	ENSG00000142541.12	ENSG00000142534.2	ENSG00000213741.4	ENSG00000135472.4	ENSG00000162244.6	ENSG00000123349.9	ENSG00000170889.9	ENSG00000143947.8	ENSG00000108107.8	ENSG00000229117.4	ENSG00000092841.14	ENSG00000008988.5	ENSG00000196531.6	ENSG00000083845.4	ENSG00000171858.13	ENSG00000149806.6	ENSG00000137818.7	ENSG00000172809.8	ENSG00000145741.11	ENSG00000149273.10	ENSG00000138326.14	ENSG00000186468.8	ENSG00000167526.9	ENSG00000122406.8	ENSG00000156482.6	ENSG00000114391.8	ENSG00000109475.12	ENSG00000089009.11	ENSG00000118181.6	ENSG00000089157.11	ENSG00000136942.10	ENSG00000197958.8	ENSG00000112306.7	ENSG00000148303.12	ENSG00000161016.11	ENSG00000164587.7	ENSG00000145425.5	ENSG00000204628.7	ENSG00000182899.10
Gene expression stats (Y^T * Y): 
90.3124531138	69.5973184951	67.465740874	84.2028340905	42.1064060653	72.6676614083	67.153414422	50.7113786653	80.9880974837	72.7622356226	59.1544743865	64.9725021491	69.4672264471	70.3776162527	64.2767525759	77.9046251226	56.9404024603	57.1929395938	76.289020687	57.9750667579	78.4263322339	51.4919682151	66.1736345053	71.6075512516	79.8046202606	72.8518192337	62.2787281836	59.1926167419	82.7435947166	75.6429663273	70.1473033079	61.1278800327	-39.2443194429	76.7502821896	62.8512721789	77.5592712228	54.8046106979	80.3358117406	63.3504197243	56.3929614953	53.9338062328	42.2320048817	77.7599970314	73.0764133772	77.1582633692	78.9776450736	76.8838440445	37.8419420882	72.6528799452	53.9276482653	56.3977430781	82.3120084437	44.1137414173	58.6947914073	62.2505188456	60.2417637273	43.855517795	60.568498701	56.041693642	83.0835677378	63.9185778799	65.1232454675	61.8360618995	75.122100124	69.2317819787	46.5020671613	49.3773841855	57.1835251763
69.5973184951	90.3124531138	56.2261786208	70.8416910057	33.2005431186	57.4007020542	56.4428281448	35.1771434142	72.8782635391	62.3439502406	49.3427815059	56.4581296661	61.7908650619	56.7750132483	60.3338802627	66.5067990369	51.0369512652	57.599107305	66.4112048683	53.9531445157	76.4245632581	52.3220748395	59.0072106402	57.7274537994	75.8126827914	63.4289127214	61.5183173872	46.4741288921	68.629058165	78.8633144639	60.8860552329	45.361956064	-18.1333850709	67.1955730294	46.7757070742	63.5580941445	38.7461507181	70.69820445	61.4878426653	62.5884622031	44.8291835388	31.2472869963	67.8468583825	52.8824074654	68.2896702392	69.6691188003	59.4751539561	29.8081053573	66.8884723806	46.260962363	39.5951285422	66.9406545372	44.215103532	47.8589884293	48.7705042587	43.0894282467	35.0936830243	44.713025872	66.1710928004	64.546461594	56.3509081249	52.2692451244	66.3803965765	75.0127988487	63.2099652215	36.8821800236	57.4837596131	44.0881173466
67.465740874	56.2261786208	90.3124531138	67.7383664686	68.089001811	73.5113885457	77.8265031002	67.6512250613	64.4570384174	70.6947230134	75.6300045414	77.3672611287	77.5230680143	74.927933358	71.4818685573	70.2950924935	66.9783693998	76.5452944971	79.6602030184	64.4354762174	69.3549197297	70.149791979	71.3923109745	76.8737743771	68.1831481195	79.9914496715	71.2367664837	61.8370661812	66.4876332515	69.0187923887	73.6582906251	67.7454064005	-48.8257626117	72.469669643	74.5158906011	66.895838478	71.3700478525	66.1133351939	67.4967884519	51.8165395169	71.665438707	72.310459627	67.8158749784	66.229689937	57.4883158029	58.6272018747	73.725123581	60.7487499831	70.2600961702	75.4782810465	68.8809382619	63.7527817872	71.7376711825	72.9422468154	75.589374184	74.0611105864	70.24420657	73.4960263354	57.781648185	74.5514174212	70.7068300469	69.8942851267	69.6451020088	68.6982362916	63.5363920299	68.9095470655	54.1562837464	77.4974861628
84.2028340905	70.8416910057	67.7383664686	90.3124531138	44.085968577	73.0491969511	68.6457471571	50.2651004794	78.715126136	73.4419844718	60.1515574885	66.2030493327	71.0274179139	71.5061825537	68.9306766843	80.249801713	61.1356115559	62.6150979528	75.860443048	61.7053629665	76.3988428103	55.2503987332	69.1142912416	74.0392538742	80.2559928162	73.4177007763	64.9360575272	60.977659152	81.2836523734	77.2301135823	70.9091843481	63.2357227301	-39.3202197501	74.1551634351	64.6609065096	78.3232476248	57.0851273466	79.483652574	69.7320491346	61.4761898337	55.2874630111	42.7569165936	76.9159414147	73.3467121894	78.723518115	79.1116553139	78.5829769061	37.424262479	71.9825927202	56.5073357088	56.7046997146	78.0244178005	49.4561300667	60.2172440967	62.8689667662	61.2136990398	44.0083155778	59.651392313	60.6421187582	82.0980973652	65.7948034034	68.3166926582	65.4550115597	79.625955839	71.696081956	49.4086648146	50.628683446	59.5566964265
42.1064060653	33.2005431186	68.089001811	44.085968577	90.3124531138	63.3804796912	72.3988881463	77.4843433098	50.3070981507	61.9228946389	72.2896542718	67.7315460681	73.8315870141	64.7254392441	61.335941488	58.9876243411	72.787992844	72.3873111122	64.5913375586	58.3550444273	46.5129783527	60.6261169297	59.722545222	71.3823481008	40.6275999613	71.828548565	67.1507431792	41.0479062523	43.3311541564	47.2064008627	63.5979713101	73.2554244829	-51.2609125308	52.414950743	71.7382430763	44.3537312677	80.3099091134	43.8859340725	63.5430625344	32.9855672243	70.0156496294	79.6168226155	55.119431899	54.3586827809	36.2197784565	28.7763739039	57.655401763	66.8659453007	48.8405799322	76.3053089825	66.3514863376	39.7967257755	75.0927731187	79.9770530733	73.2355011652	71.233677626	79.9428481908	71.3742964679	44.5234810545	55.3438528904	59.9469807276	70.1953854894	59.6142525826	45.4965477325	49.0638143841	80.8568641792	45.5655782061	73.8089581556
72.6676614083	57.4007020542	73.5113885457	73.0491969511	63.3804796912	90.3124531138	75.397510316	64.1628642315	72.5866566727	68.9489540022	71.6721733149	74.8543555521	77.4437694416	70.3958348699	71.9578711083	78.6329411832	68.9119466493	71.0426839153	78.1403867145	69.4099593654	67.0105441807	65.4723958621	66.1517854547	79.2805227261	66.6362062252	81.0397468328	73.8831708264	59.573664958	74.647924804	68.9842902191	73.407322505	69.7109065646	-52.7160578486	74.322163056	80.0050420897	69.1016190005	69.4279396405	70.8471023576	68.5867717789	51.0860703772	68.3351299	66.337065152	72.0665276879	65.2668367347	62.6913135445	64.0410068845	70.9600476752	54.5542425941	67.9792222267	74.7755071131	62.6751688459	70.1143403652	68.4254347531	72.8722445892	75.4691961758	76.9526723637	62.1030932722	76.8179112119	62.7404653902	79.6789902915	73.6288315606	72.9783626751	68.3052632974	68.8235397442	66.9445645312	67.0788735241	51.6560294438	73.5745549325
67.153414422	56.4428281448	77.8265031002	68.6457471571	72.3988881463	75.397510316	90.3124531138	71.1358249136	68.3494531229	79.5601756377	75.9577013569	76.1410653256	79.8876561653	78.4244087106	72.0323147569	76.0790792721	78.8209617832	76.3142160062	81.7720581001	72.9308201711	68.4150466963	71.9991119888	75.4957245719	78.7216881398	66.6526180137	79.4763569094	75.7236566995	56.5236524876	70.6279267601	71.9759785852	81.4424262917	74.0040106846	-44.6319531221	74.4898105264	78.7778755588	67.0142964621	78.0732502415	69.5853166916	72.1670020987	49.4905334216	74.4160030533	70.2241013942	75.0463667245	71.4893861754	62.7741671111	53.4826398513	75.6112397313	55.5399534858	71.570471421	76.1893584412	72.0899054626	63.4335324062	71.9857304497	77.9852961739	79.7272373054	75.047240014	75.4684137417	73.6032960531	59.05787255	73.474002783	69.8352007132	75.5123669398	73.6532617848	72.1384593996	70.0182188849	71.3151213557	59.7286236264	77.9614694374
50.7113786653	35.1771434142	67.6512250613	50.2651004794	77.4843433098	64.1628642315	71.1358249136	90.3124531138	54.7115130252	63.2836385922	81.1459159734	67.6207045752	74.3406874816	68.2997492083	59.9518896901	65.9417676345	68.5726843202	68.9194685758	66.1420808998	51.69220585	56.0595923288	52.9272803397	62.3524521053	74.7952404521	50.4608679668	70.0377794635	63.8605245929	39.9046480422	53.0510874374	46.2936513658	68.4482403703	78.7070940911	-61.7809601374	61.3377780648	64.108935781	55.9628674581	78.0128778894	51.2562284927	61.3756499311	40.8027567334	73.5982727592	67.5553184105	60.8907333612	59.8622102705	41.5424327855	38.6048126072	62.806817579	67.2806574197	57.8409777727	70.4374828189	73.493352698	47.0659447548	67.6460673033	82.4239067898	69.6374811112	67.6589801868	70.6991460712	72.8824809112	52.2848094065	61.0085050951	60.5119432188	73.4974522526	53.9475707085	49.9109510945	53.7357074174	77.8201719681	52.2291871114	71.7296479635
80.9880974837	72.8782635391	64.4570384174	78.715126136	50.3070981507	72.5866566727	68.3494531229	54.7115130252	90.3124531138	74.1137590034	61.4644010558	64.0636008788	70.7857588168	69.5367353288	68.1012508896	78.5095707399	64.9399254415	64.9519264423	75.994985556	65.3344935285	81.0474435378	55.5514682022	65.6155830584	72.2156629722	77.3432995946	74.8959470065	66.7755436217	48.2494303813	77.5803896388	77.2364412964	74.4451243398	64.3393398928	-34.0647424384	73.8242519106	60.3050410854	71.014305759	56.495966221	78.2076771908	68.2080261859	56.6355571595	56.182368559	46.5045024615	80.8960825843	70.5987342629	73.2456695994	73.6505322414	72.5984525776	44.2495125522	75.8617957332	56.220384874	55.0936053489	78.0625201312	52.2411777878	62.8294061729	61.8234550444	56.6163782411	51.1678873052	60.2191833911	63.0251919655	77.7612491698	64.3083931406	67.0201390794	71.7315108021	75.1610691221	68.1469508689	54.5943872722	60.0719588788	58.5007511657
72.7622356226	62.3439502406	70.6947230134	73.4419844718	61.9228946389	68.9489540022	79.5601756377	63.2836385922	74.1137590034	90.3124531138	66.5706742936	69.9541157011	77.1453713096	77.8320529834	72.6591820082	76.8883720575	70.8674265929	69.1339262161	80.0634873918	68.0699961262	72.3150756017	64.3786207974	73.8289462649	75.7995152434	69.0036353978	75.4903721814	67.8549118624	52.9231210441	71.6632887648	74.5554358169	77.5153393978	69.8352379961	-37.1267361982	70.5821077271	68.6025438097	71.8962921385	69.8351243244	72.376973417	66.4353720647	49.8483716801	65.702458527	56.4569995107	74.8205613778	73.1726572075	73.6519167874	61.9991696787	77.3517128635	52.1897886445	73.6640856988	60.3097524361	63.8486587879	66.1375894223	62.4640466616	71.144411539	70.8989296317	65.4746708644	62.6341966851	64.9124609318	54.9783036792	71.6739512581	66.0814908258	71.001078237	69.2901281041	72.5185109145	72.8398149041	59.7174560375	58.4893364874	68.4527028676
